id;nom_matiere;reference;image;image_content_type;matricule_matiere;region;autre_region;code_region;autrecode_region;type_structure;autre_structure;annee_affectation
1;Checking mobile;markets Tonga Bacon;../fake-data/blob/hipster.png;image/png;Guinée;LOUGA;Metical;C01;withdrawal;BAD;Gloves state;52484
2;Laffitte card Lesotho;online Bedfordshire Tools;../fake-data/blob/hipster.png;image/png;matrix c;TAMBACOUNDA;Centre;C03;intangible Balboa;BCC;solid model Corse;4492
3;vortals;Handcrafted deposit;../fake-data/blob/hipster.png;image/png;Fully-configurable de;MATAM;Secured neural cross-platform;C04;bypassing portals;DRH;radical;12956
4;Stagiaire Books mobile;Kwanza revolutionize;../fake-data/blob/hipster.png;image/png;quantify Granite relationships;KAOLACK;b;C14;Rustic;DFPT;Chips budgetary c;36726
5;Market;Self-enabling c Metal;../fake-data/blob/hipster.png;image/png;FTP;LOUGA;Account cohesive;C11;out-of-the-box Nicaragua generate;LyceeTechnique;HDD;58012
6;a withdrawal systematic;Lempira ROI;../fake-data/blob/hipster.png;image/png;Loan synthesize;FATICK;neural;C03;world-class maroon relationships;BCC;target;82425
7;deposit Tasty Bedfordshire;b Soft panel;../fake-data/blob/hipster.png;image/png;Concrete bypass navigate;TAMBACOUNDA;Granite FTP b;C14;context-sensitive Shoes;CNID;c;48498
8;value-added Ball;Berkshire green parse;../fake-data/blob/hipster.png;image/png;embrace e-services;KOLDA;Ball;C08;teal Cross-platform application;BCOM;24/365 Soft reboot;98310
9;extranet;Ergonomic e-tailers;../fake-data/blob/hipster.png;image/png;Lira;KAFFRINE;extensible radical SQL;Autres;proactive;DRH;bypass array primary;22917
10;copying;Cotton connect Languedoc-Roussillon;../fake-data/blob/hipster.png;image/png;Dominique;MATAM;synthesize Coordinateur;C11;Sleek;CI;Ball Cambridgeshire multi-tasking;63491
