id;matricule_etab;type_etab;autrenom_etab;annee_cre;statut;region;autre_region;departement;autre_dep;commune;code_region;autrecode_region;email_etab;type_insp
1;support purple neural;CFP;Provence-Alpes-Côte;49962;Prive;MATAM;Taiwan Awesome Gloves;Salemata;Salad;programming;C12;Granite full-range Stagiaire;toolset;IEF
2;de Bedfordshire;CFP;online bricks-and-clicks;83632;Prive;FATICK;ADP virtual Car;Bakel;Checking Technicien;driver programming calculating;C13;Total Sharable Avon;Soft visualize Paraguay;IEF
3;deposit Grocery;LyceeTechnique;la optical;49464;Public;MATAM;intuitive ability;Mbour;Cotton Plastic;b;C06;metrics Ingenieur didactic;Health infomediaries Bedfordshire;IA
4;Music Account;CFP;Metal XSS Centre;27556;Mixte;MATAM;Steel;Kaffrine;Agent;strategy Savings;C13;Mouse Grass-roots purple;metrics Hongrie;IA
5;Buckinghamshire Rand;LyceeTechnique;content application;14572;Public;KAOLACK;Poitou-Charentes Account;Thies;Table Business-focused;la Keyboard enhance;C03;SSL;bricks-and-clicks Mauritanie a;IEF
6;deposit;LyceeTechnique;Small Grenade one-to-one;62646;Public;THIES;Borders;Diourbel;Franche-Comté Soft Architecte;Danemark convergence bypassing;Autres;state back-end Saint-Bernard;SDD USB Account;IEF
7;sexy bypass e-tailers;CFP;Pound Monitored;1028;Mixte;MATAM;microchip Plastic scalable;Bignona;Kyat;de;C14;sexy TCP Fish;platforms;IEF
8;invoice;CFP;Incredible;23997;Prive;KOLDA;a;Sedhiou;Down-sized distributed;sensor Checking quantify;C07;TCP Account c;Expanded empower;IA
9;transmit Berkshire;CFP;Executif;5790;Prive;SEDHIOU;Indian withdrawal;Bakel;b;b de;C10;Rustic back-end;AGP global;IA
10;next-generation Peso;CFP;gold Incredible;26329;Mixte;MATAM;Guinée indigo;Bambey;neutral unis;Table Specialiste;C02;du hack override;e-tailers infrastructures AGP;IEF
